Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
1979-01-01,0.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,-0.25,2.211127004
1979-04-01,-0.406358288,-1.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-1.711127004
1979-07-01,-1,-1,-2,-1,-1,-2,0,-1
1979-10-01,2,0,1,0,1,1,0,1.5
1980-01-01,0.406358288,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,0.75,-0.288872996
1980-04-01,-0.406358288,-0.203179144,-0.203179144,-1.203179144,-0.203179144,-0.203179144,0,-1.711127004
1980-07-01,-1,1,0,0,-1,0,0,-1
1980-10-01,0,-1,1,-1,0,-1,0,1.5
1981-01-01,0.406358288,0.203179144,-0.796820856,-0.796820856,0.203179144,0.203179144,-0.25,-1.288872996
1981-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-2.203179144,-0.203179144,0,-2.711127004
1981-07-01,0,-1,1,0,0,-1,0,2.5
1981-10-01,1,1,0,2,0,1,0,1.5
1982-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,-0.796820856,0.203179144,-0.25,-1.288872996
1982-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-2.203179144,0,4.288872996
1982-07-01,1,1,0,2,1,1,0,2.5
1982-10-01,-1,0,0,-1,1,-1,0,1.5
1983-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,-0.796820856,-0.25,2.211127004
1983-04-01,1.593641712,1.796820856,1.796820856,1.796820856,1.796820856,1.796820856,0,4.288872996
1983-07-01,-1,0,0,-1,1,0,0,-1
1983-10-01,1,0,1,1,0,2,0,-2
1984-01-01,1.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,0.75,3.211127004
1984-04-01,-0.406358288,-2.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
1984-07-01,-1,-1,-2,-1,-1,-2,0,-1
1984-10-01,2,0,1,0,1,1,0,1.5
1985-01-01,-0.593641712,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
1985-04-01,-0.406358288,-0.203179144,-2.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
1985-07-01,2,1,1,0,1,1,0,2.5
1985-10-01,-1,1,-1,0,-1,0,0,-2
1986-01-01,-1.593641712,-1.796820856,-1.796820856,-0.796820856,-0.796820856,-0.796820856,-0.25,-4.788872996
1986-04-01,2.593641712,1.796820856,1.796820856,0.796820856,1.796820856,1.796820856,0,4.288872996
1986-07-01,-1,1,0,0,-1,0,0,-1
1986-10-01,0,-1,1,-1,0,-1,0,1.5
1987-01-01,0.406358288,0.203179144,-0.796820856,-0.796820856,0.203179144,0.203179144,-0.25,-1.288872996
1987-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-2.203179144,-0.203179144,0,-2.711127004
1987-07-01,0,-1,1,0,0,-1,0,2.5
1987-10-01,1,1,0,2,0,1,0,1.5
1988-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,0.203179144,0.75,-0.288872996
1988-04-01,1.593641712,1.796820856,1.796820856,1.796820856,1.796820856,1.796820856,0,4.288872996
1988-07-01,-1,0,0,-1,1,0,0,-1
1988-10-01,1,0,1,1,0,2,0,-2
1989-01-01,-0.593641712,0.203179144,0.203179144,0.203179144,0.203179144,-0.796820856,-0.25,2.211127004
1989-04-01,-0.406358288,0.796820856,0.796820856,0.796820856,0.796820856,0.796820856,0,0.788872996
1989-07-01,0,-1,0,0,-1,1,0,-4.5
1989-10-01,-2,-1,-2,-1,-1,-2,0,-2
1990-01-01,0.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,-0.25,2.211127004
1990-04-01,-0.406358288,-2.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
1990-07-01,-1,-1,-2,-1,-1,-2,0,-1
1990-10-01,2,0,1,0,1,1,0,1.5
1991-01-01,-0.593641712,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
1991-04-01,-0.406358288,-0.203179144,-2.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
1991-07-01,2,1,1,0,1,1,0,2.5
1991-10-01,-1,1,-1,0,-1,0,0,-2
1992-01-01,0.406358288,0.203179144,-0.796820856,0.203179144,0.203179144,0.203179144,0.75,-0.288872996
1992-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-2.203179144,-0.203179144,0,-2.711127004
1992-07-01,0,-1,1,0,0,-1,0,2.5
1992-10-01,1,1,0,2,0,1,0,1.5
1993-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,-0.796820856,0.203179144,-0.25,-1.288872996
1993-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-2.203179144,0,4.288872996
1993-07-01,1,1,0,2,1,1,0,2.5
1993-10-01,-1,0,0,-1,1,-1,0,1.5
1994-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,-0.796820856,-0.25,2.211127004
1994-04-01,1.593641712,1.796820856,1.796820856,1.796820856,1.796820856,1.796820856,0,4.288872996
1994-07-01,-1,0,0,-1,1,0,0,-1
1994-10-01,1,0,1,1,0,2,0,-2
1995-01-01,1.406358288,1.203179144,1.203179144,1.203179144,1.203179144,0.203179144,-0.25,5.711127004
1995-04-01,-2.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
1995-07-01,0,-1,0,0,-1,1,0,-4.5
1995-10-01,-2,-1,-2,-1,-1,-2,0,-2
1996-01-01,-0.593641712,0.203179144,0.203179144,0.203179144,0.203179144,0.203179144,0.75,-0.288872996
1996-04-01,-0.406358288,-0.203179144,-2.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
1996-07-01,2,1,1,0,1,1,0,2.5
1996-10-01,-1,1,-1,0,-1,0,0,-2
1997-01-01,-1.593641712,-1.796820856,-1.796820856,-0.796820856,-0.796820856,-0.796820856,-0.25,-4.788872996
1997-04-01,2.593641712,1.796820856,1.796820856,0.796820856,1.796820856,1.796820856,0,4.288872996
1997-07-01,-1,1,0,0,-1,0,0,-1
1997-10-01,0,-1,1,-1,0,-1,0,1.5
1998-01-01,0.406358288,0.203179144,-0.796820856,-0.796820856,0.203179144,0.203179144,-0.25,-1.288872996
1998-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-2.203179144,-0.203179144,0,-2.711127004
1998-07-01,0,-1,1,0,0,-1,0,2.5
1998-10-01,1,1,0,2,0,1,0,1.5
1999-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,-0.796820856,0.203179144,-0.25,-1.288872996
1999-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-2.203179144,0,4.288872996
1999-07-01,1,1,0,2,1,1,0,2.5
1999-10-01,-1,0,0,-1,1,-1,0,1.5
2000-01-01,0.406358288,0.203179144,0.203179144,0.203179144,0.203179144,-0.796820856,0.75,3.211127004
2000-04-01,-2.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2000-07-01,0,-1,0,0,-1,1,0,-4.5
2000-10-01,-2,-1,-2,-1,-1,-2,0,-2
2001-01-01,0.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,-0.25,2.211127004
2001-04-01,-0.406358288,-2.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2001-07-01,-1,-1,-2,-1,-1,-2,0,-1
2001-10-01,2,0,1,0,1,1,0,1.5
2002-01-01,-0.593641712,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2002-04-01,-0.406358288,-0.203179144,-2.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2002-07-01,2,1,1,0,1,1,0,2.5
2002-10-01,-1,1,-1,0,-1,0,0,-2
2003-01-01,0.406358288,-0.796820856,-0.796820856,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
2003-04-01,-0.406358288,-0.203179144,-0.203179144,-2.203179144,-0.203179144,-0.203179144,0,-2.711127004
2003-07-01,-1,1,0,0,-1,0,0,-1
2003-10-01,0,-1,1,-1,0,-1,0,1.5
2004-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,0.203179144,0.203179144,0.75,-0.288872996
2004-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-2.203179144,0,4.288872996
2004-07-01,1,1,0,2,1,1,0,2.5
2004-10-01,-1,0,0,-1,1,-1,0,1.5
2005-01-01,-1.593641712,-0.796820856,-0.796820856,-0.796820856,-1.796820856,-1.796820856,-0.25,-1.288872996
2005-04-01,3.593641712,2.796820856,2.796820856,2.796820856,2.796820856,2.796820856,0,7.788872996
2005-07-01,-1,0,0,-1,1,0,0,-1
2005-10-01,1,0,1,1,0,2,0,-2
2006-01-01,1.406358288,1.203179144,1.203179144,1.203179144,1.203179144,0.203179144,-0.25,5.711127004
2006-04-01,-2.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-2.711127004
2006-07-01,0,-1,0,0,-1,1,0,-4.5
2006-10-01,-2,-1,-2,-1,-1,-2,0,-2
