Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
1967-05-01,-0.822488671,0.567973897,0.567973897,-0.473589638,-0.432026103,-0.432026103,0,0.48790864
1967-06-01,0.817651072,0.427188504,0.427188504,1.463914441,1.427188504,0.427188504,0,3.495159765
1967-07-01,0,-1,-1,-1,-1,0,0,-4
1967-08-01,0,1,1,1,0,0,0,3
1967-09-01,0,0,0,0,1,1,0,-1.5
1967-10-01,0,0,-1,-1,-1,-1,0,-0.5
1967-11-01,0,0,1,1,0,0,0,2
1967-12-01,-2,-2,-1,-1,0,0,0,-6
1968-01-01,0,1,1,0,0,0,0,2
1968-02-01,0,0,0,1,0,0,0.75,1
1968-03-01,-0.288872996,-0.49205214,-0.49205214,-0.49205214,0.812716576,0.50794786,0,-2.222182489
1968-04-01,0.293710594,0.496889739,-0.503110261,-0.498272663,-0.807878978,-0.503110261,0,0.239114085
1968-05-01,1.177511329,0.567973897,0.567973897,1.526410362,1.567973897,0.567973897,0,3.98790864
1968-06-01,-2.182348928,-1.572811496,-1.572811496,-1.536085559,-1.572811496,-0.572811496,0,-7.004840235
1968-07-01,1,1,1,0,0,0,0,3
1968-08-01,0,0,0,1,1,1,0,-0.5
1968-09-01,0,-1,-1,-1,-1,-1,0,-1.5
1968-10-01,0,1,1,1,0,0,0,3
1968-11-01,0,0,0,0,1,1,0,-1.5
1968-12-01,0,0,-2,-2,-1,-1,0,-2.5
1969-01-01,0,0,0,1,1,0,0,2
1969-02-01,0,0,0,0,0,0,-0.25,0
1969-03-01,0.711127004,-0.49205214,-0.49205214,-0.49205214,-0.187283424,0.50794786,0,-2.222182489
1969-04-01,-0.706289406,0.496889739,0.496889739,-0.498272663,-0.807878978,-0.503110261,0,0.239114085
1969-05-01,-0.822488671,-0.432026103,-0.432026103,-0.473589638,0.567973897,0.567973897,0,-3.01209136
1969-06-01,0.817651072,-0.572811496,-0.572811496,-0.536085559,-0.572811496,-0.572811496,0,-0.004840235
1969-07-01,0,1,1,1,0,0,0,3
1969-08-01,-1,-1,-1,-1,0,0,0,-4
1969-09-01,1,1,0,0,0,0,0,2
1969-10-01,0,0,1,1,1,0,0,3
1969-11-01,-1,-1,-1,-1,-1,0,0,-5
1969-12-01,1,1,1,-1,-1,0,0,1
1970-01-01,0,0,0,0,1,1,0,-1.5
1970-02-01,0,0,0,0,0,0,-0.25,0
1970-03-01,-2.288872996,-1.49205214,-2.49205214,-2.49205214,-3.187283424,-2.49205214,0,-5.722182489
1970-04-01,2.293710594,1.496889739,2.496889739,2.501727337,2.192121022,1.496889739,0,7.239114085
1970-05-01,-1.822488671,-1.432026103,-1.432026103,-1.473589638,-1.432026103,-0.432026103,0,-6.51209136
1970-06-01,1.817651072,1.427188504,0.427188504,0.463914441,0.427188504,0.427188504,0,3.495159765
1970-07-01,0,0,1,1,1,0,0,3
1970-08-01,0,-1,-1,-1,-1,0,0,-4
1970-09-01,0,1,1,0,0,0,0,2
1970-10-01,0,0,0,1,1,1,0,-0.5
1970-11-01,0,-1,-1,-1,-1,-1,0,-1.5
1970-12-01,0,1,1,1,-1,-1,0,4.5
1971-01-01,-1,-1,-1,-1,-1,0,0,-5
1971-02-01,0,0,0,0,0,0,-0.25,0
1971-03-01,1.711127004,1.50794786,1.50794786,0.50794786,0.812716576,0.50794786,0,4.777817511
1971-04-01,-0.706289406,-0.503110261,-0.503110261,0.501727337,0.192121022,-0.503110261,0,0.239114085
